block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,error
关注个股,SH,601101,昊华能源,20260923,13.25,-2.43,1.5,-5.7,-0.6,多头,13.24,13.23,13.67,12.51,-3.1,5.9,0.2,0.079,0.17,-0.181,,"-0.373,-0.366,-0.274,-0.195,-0.181",True,46.6,50.0,43.4,31.2,67.8,32.0,14.87,12.47,0.42,0.54,0.91,15.32,12.7,12.7,15.32,15.32,10.26,-13.5,59.0,0,False,False,False,20220701:-21.0%;20120712:-20.4%;20110704:-54.6%,
关注个股,SH,600546,山煤国际,20260923,13.37,-1.98,2.0,-3.6,-1.3,震荡,13.44,13.37,13.46,12.93,-0.7,3.4,0.1,0.078,0.093,-0.029,,"-0.146,-0.111,-0.057,-0.018,-0.029",True,48.4,51.0,56.4,48.6,72.0,44.0,14.18,12.75,0.57,0.79,0.65,14.54,12.8,12.8,14.54,14.54,11.21,-8.0,65.0,0,False,False,False,20130805:-51.2%;20060921:-45.0%;20060727:-24.6%,
关注个股,SH,601225,陕西煤业,20260923,25.68,-1.34,-0.0,-3.2,-2.5,震荡,25.61,25.76,26.13,25.09,-1.7,2.3,-0.5,0.016,0.117,-0.202,,"-0.331,-0.369,-0.314,-0.223,-0.202",True,46.1,48.7,43.2,36.1,57.4,31.0,27.3,24.96,0.64,0.79,0.23,27.8,24.91,24.91,27.8,27.8,21.02,-7.6,69.0,0,False,False,False,20230712:-11.2%,
关注个股,SH,600188,兖矿能源,20260923,19.77,-2.85,-1.7,-10.7,-8.5,空头,20.08,20.41,21.28,20.63,-7.1,-4.2,-1.7,-0.386,-0.192,-0.387,,"-0.564,-0.589,-0.476,-0.390,-0.387",False,33.4,40.3,19.4,18.6,20.9,16.0,23.53,19.03,0.73,0.8,0.57,23.81,19.4,19.4,23.81,23.81,17.31,-17.0,38.0,0,False,False,False,20240708:-28.8%;20230717:-41.9%;20060403:-15.0%,
关注个股,SH,601088,中国神华,20260923,47.21,-0.63,0.2,-0.3,-0.1,震荡,46.85,47.03,47.3,45.34,-0.2,4.1,-0.0,0.278,0.396,-0.235,,"-0.395,-0.463,-0.419,-0.286,-0.235",True,54.2,54.3,55.2,50.5,64.6,47.0,48.65,45.94,0.54,0.73,0.08,49.48,45.22,45.22,49.48,49.48,39.74,-4.6,77.0,0,False,False,False,,
关注个股,SH,601898,中煤能源,20260923,13.92,-2.18,-2.6,-8.0,-4.6,空头,14.06,14.29,14.73,14.06,-5.5,-1.0,-0.9,-0.112,0.013,-0.25,,"-0.305,-0.335,-0.286,-0.247,-0.250",False,34.1,42.8,20.4,19.2,22.9,15.0,15.87,13.58,0.45,0.65,0.2,16.29,13.7,13.7,16.29,16.29,12.36,-14.5,40.0,0,False,False,False,,
关注个股,SH,601699,潞安环能,20260923,15.38,-2.35,-1.5,-7.7,-9.5,空头,15.45,15.6,16.21,15.76,-5.1,-2.4,-1.9,-0.227,-0.118,-0.217,,"-0.380,-0.385,-0.314,-0.234,-0.217",False,38.0,42.3,24.3,18.8,35.2,22.0,17.71,14.7,0.51,0.77,0.5,18.28,15.04,15.04,18.28,18.28,14.15,-15.9,30.0,0,False,False,False,20230608:-15.6%;20150611:-22.9%;20110628:-50.3%,
关注个股,SZ,300633,开立医疗,20260923,19.75,-0.5,4.2,-3.4,1.5,震荡,19.37,19.27,19.66,19.65,0.5,0.5,-0.6,-0.136,-0.144,0.016,金叉(1日前),"-0.351,-0.303,-0.167,-0.050,0.016",False,56.9,51.0,54.0,37.3,87.5,54.0,20.97,18.34,0.65,0.92,1.02,21.35,18.4,18.4,21.35,21.41,18.01,-7.8,51.0,0,False,False,False,,
AI硬件,SH,688167,炬光科技,20260923,308.9,4.45,2.6,2.1,17.9,强多头,303.67,298.39,296.42,259.71,4.2,18.9,2.7,10.128,11.011,-1.767,,"-2.670,-1.032,-1.712,-2.740,-1.767",True,59.5,57.3,66.0,59.9,78.4,78.0,318.94,273.9,0.82,0.73,5.71,322.24,268.1,268.1,322.24,331.68,155.5,-6.9,87.0,0,False,False,False,20260610:-33.6%,
AI硬件,BJ,920045,蘅东光,20260923,559.8,4.95,-4.5,7.4,17.9,多头,554.68,563.39,532.84,412.82,5.1,35.6,5.8,37.873,42.44,-9.134,死叉(3日前),"7.185,3.944,-1.379,-7.988,-9.134",True,55.2,59.3,46.4,55.4,28.4,67.0,613.01,452.67,0.74,0.93,4.67,619.97,444.01,444.01,619.97,619.97,209.43,-9.7,85.0,0,False,False,False,,
