signal,quantile,sample_size,signal_min,signal_max,next_up_probability,avg_next_return_pct,median_next_return_pct
IM_top20_net_oi_chg,Q4_high,74,1416,5670,0.581081081081081,0.3239706254650347,0.5399766410679518
all_products_long_oi_chg_sum,Q1_low,74,-68868,-15387,0.6216216216216216,0.4134584188782474,0.5546067892526763
all_products_long_oi_chg_sum,Q2,73,-15266,-2137,0.5342465753424658,0.2723217954965566,0.2560782202563727
all_products_long_oi_chg_sum,Q3,73,-2013,12558,0.4794520547945205,0.2421712990325982,-0.20279542730058386
all_products_long_oi_chg_sum,Q4_high,74,12601,66508,0.5675675675675675,0.2431120679338606,0.32420470575136306
all_products_short_oi_chg_sum,Q1_low,74,-70157,-17034,0.6081081081081081,0.44506927195755863,0.5753862397513188
all_products_short_oi_chg_sum,Q2,73,-17030,-3220,0.5342465753424658,0.2287621182110504,0.2560782202563727
all_products_short_oi_chg_sum,Q3,73,-3207,10231,0.5205479452054794,0.3410716629571712,0.08756705171699686
all_products_short_oi_chg_sum,Q4_high,74,10985,63365,0.5405405405405406,0.15690837533222696,0.2334019171498114
all_products_net_oi_chg_sum,Q1_low,74,-9519,-1364,0.5405405405405406,0.2580815623326218,0.21824938969239316
all_products_net_oi_chg_sum,Q2,74,-1348,1018,0.6081081081081081,0.33691170243322893,0.36484540125572007
all_products_net_oi_chg_sum,Q3,72,1090,3125,0.4722222222222222,0.22462107981211638,-0.01899818292499522
all_products_net_oi_chg_sum,Q4_high,74,3220,14292,0.581081081081081,0.3505674673726889,0.5118251922682004
