板块,代码,名称,市场,收盘,当日涨跌,近5日,近1月,近3月,日趋势,周趋势,月趋势,日MA排列,周MA排列,月MA排列,MA5,MA10,MA20,MA60,BIAS20,RSI14,KDJ_K,KDJ_D,KDJ_J,日MACD,周MACD,月MACD,日DIF,日DEA,VR5,量比5_20,距52周高,五二周位置,ATRpct,背离,复权修正,是否ETF,今日除息
AI硬件,600183,生益科技,SH,146.27,1.63,0.18,15.81,-14.54,↑,→,↑,多头(价回MA5下),均线交织,多头排列,148.192,147.679,144.703,138.3253,1.08,51.89,47.47,55.75,30.89,死叉,死叉,金叉,3.1861,3.4982,0.87,1.03,-23.77,68.6,6.49,,,,
AI硬件,600330,天通股份,SH,29.41,0.14,-2.71,12.81,-2.42,↑,→,↑,多头(价回MA5下),均线交织,多头排列,29.664,29.381,28.513,24.7202,3.15,57.41,69.01,68.28,70.49,死叉,刚金叉,金叉,1.2012,1.2656,0.79,0.99,-21.3,72.1,6.54,,,,
AI硬件,600378,昊华科技,SH,47.75,-0.52,4.81,8.03,-30.32,→,→,↑,均线交织,均线交织,多头(价回MA5下),47.662,47.126,47.734,50.4213,0.03,47.09,65.9,53.71,90.28,金叉,死叉,金叉,-0.1744,-0.2669,0.86,0.82,-45.8,32.9,6.06,,,,
AI硬件,600487,亨通光电,SH,71.75,3.25,13.53,18.73,-33.59,→,→,↑,均线交织,均线交织,多头(价回MA5下),67.51,65.963,66.1095,65.401,8.53,58.02,70.47,58.21,94.98,金叉,死叉,金叉,1.2349,0.5636,0.99,1.0,-42.67,49.7,5.16,,,,
AI硬件,600522,中天科技,SH,36.95,2.7,9.0,13.59,-37.2,→,→,↑,均线交织,均线交织,多头(价回MA5下),35.808,34.736,34.297,36.1738,7.74,62.65,85.48,76.9,102.62,金叉,死叉,金叉,0.3605,-0.1253,0.89,1.26,-45.74,40.9,4.09,,,,
AI硬件,600641,先导基电,SH,39.76,6.6,24.64,23.59,9.71,→,→,↑,均线交织,均线交织,多头排列,35.726,33.075,32.702,33.8928,21.58,67.74,86.9,71.37,117.98,金叉,死叉,金叉,1.0248,0.1235,1.1,1.31,-22.02,68.3,5.21,,,,
AI硬件,601133,柏诚股份,SH,25.79,-0.81,12.82,2.34,-38.76,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),24.474,23.923,24.376,27.9222,5.8,61.2,71.36,51.61,110.85,金叉,死叉,金叉,-0.4998,-0.8601,2.06,1.13,-43.57,40.4,4.13,,,,是
AI硬件,601138,工业富联,SH,63.6,1.42,3.3,5.3,-8.63,↓,→,↑,空头(价上突),均线交织,多头(价回MA5下),62.142,63.025,63.0955,63.2688,0.8,51.84,37.19,33.42,44.73,死叉,死叉,金叉,-0.2938,-0.2117,1.2,0.84,-25.13,43.2,3.36,,,,
AI硬件,601208,东材科技,SH,52.75,2.83,9.24,20.65,-21.65,↑,→,↑,多头排列,均线交织,多头排列,52.006,49.921,48.9205,48.1383,7.83,60.88,69.61,65.29,78.24,金叉,死叉,金叉,1.3834,0.8789,0.91,1.25,-34.44,56.6,5.84,,,,
AI硬件,601869,长飞光纤,SH,458.99,0.88,-0.15,21.04,-12.92,↑,→,↑,多头(价回MA5下),均线交织,多头排列,460.802,453.228,428.1575,390.1793,7.2,66.0,74.02,77.66,66.76,金叉,死叉,金叉,23.8882,21.2669,0.78,0.85,-23.5,73.3,5.92,,,,
AI硬件,603163,圣晖集成,SH,83.6,-0.91,5.13,4.37,-43.95,→,→,→,均线交织,均线交织,均线交织,81.93,82.283,80.5415,88.224,3.8,59.91,38.74,35.9,44.41,金叉,死叉,金叉,-0.385,-1.0927,0.92,1.05,-46.75,36.6,5.27,,,,
AI硬件,603186,华正新材,SH,231.7,2.17,1.31,40.19,1.82,↑,↑,↑,多头(价回MA5下),多头排列,多头排列,238.808,227.331,203.04,172.4397,14.12,71.76,64.56,73.17,47.35,金叉,金叉,金叉,19.6524,17.2055,0.77,0.9,-14.14,83.7,8.3,,,,
AI硬件,603228,景旺电子,SH,110.16,5.47,1.8,20.21,60.61,→,↑,↑,均线交织,多头排列,多头排列,105.97,107.638,100.6765,86.0302,9.42,75.27,53.23,60.04,39.62,死叉,金叉,金叉,5.1948,5.2835,1.13,0.86,-3.03,94.4,5.69,,,,
AI硬件,603256,宏和科技,SH,148.92,0.09,13.97,11.22,-44.29,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),144.88,136.9,135.8535,158.0337,9.62,61.18,79.56,67.98,102.72,金叉,死叉,金叉,-1.2041,-4.5795,0.88,1.6,-51.01,43.8,5.96,,,,
AI硬件,603738,泰晶科技,SH,38.57,1.79,9.48,7.35,-34.67,→,→,↑,均线交织,均线交织,多头(价回MA5下),37.234,36.32,37.0855,38.4617,4.0,54.79,77.99,64.03,105.9,金叉,死叉,金叉,-0.0972,-0.388,0.93,0.87,-44.38,44.2,4.79,,,,
