date,sh_margin_y,sz_margin_y,total_margin_y,sh_change_y,sh_change_pct,sz_change_y,sz_change_pct,total_change_y,total_change_pct,source,sample_status
2014-10-28,4403.02363994,2513.06469383,6916.08833377,-14.41787698,-0.32638524,-16.09990346,-0.63657002,-30.51778044,-0.43931929,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-10-29,4396.52493432,2518.30402363,6914.82895795,-6.49870562,-0.14759643,5.23932980,0.20848368,-1.25937582,-0.01820937,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-10-30,4434.42891214,2533.95341460,6968.38232674,37.90397782,0.86213494,15.64939097,0.62142580,53.55336879,0.77447134,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-10-31,4443.31032561,2532.59536186,6975.90568747,8.88141347,0.20028314,-1.35805274,-0.05359423,7.52336073,0.10796424,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-03,4498.02419175,2556.58025353,7054.60444528,54.71386614,1.23137621,23.98489167,0.94704792,78.69875781,1.12815112,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-04,4534.45058673,2582.90310680,7117.35369353,36.42639498,0.80983102,26.32285327,1.02961185,62.74924825,0.88947933,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-05,4566.79655698,2605.94884943,7172.74540641,32.34597025,0.71333825,23.04574263,0.89224186,55.39171288,0.77826275,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-06,4602.87164514,2619.77486810,7222.64651324,36.07508816,0.78994297,13.82601867,0.53055603,49.90110683,0.69570442,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-07,4607.94750926,2622.33726193,7230.28477119,5.07586412,0.11027603,2.56239383,0.09780970,7.63825795,0.10575428,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-10,4640.90522420,2635.99380069,7276.89902489,32.95771494,0.71523634,13.65653876,0.52077736,46.61425370,0.64470841,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-11,4685.11764722,2643.28693624,7328.40458346,44.21242302,0.95266809,7.29313555,0.27667499,51.50555857,0.70779543,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-12,4717.92706194,2649.19682375,7367.12388569,32.80941472,0.70029009,5.90988751,0.22358101,38.71930223,0.52834559,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-13,4741.02238964,2656.76217340,7397.78456304,23.09532770,0.48952278,7.56534965,0.28557144,30.66067735,0.41618246,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-14,4744.51979124,2661.81873622,7406.33852746,3.49740160,0.07376893,5.05656282,0.19032802,8.55396442,0.11562873,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-17,4767.97912474,2673.42627179,7441.40539653,23.45933350,0.49445117,11.60753557,0.43607536,35.06686907,0.47347105,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-18,4793.87054532,2683.51515901,7477.38570433,25.89142058,0.54302714,10.08888722,0.37737668,35.98030780,0.48351495,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-19,4816.91069603,2694.05793692,7510.96863295,23.04015071,0.48061687,10.54277791,0.39287193,33.58292862,0.44912661,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-20,4833.84872787,2707.30793831,7541.15666618,16.93803184,0.35163683,13.25000139,0.49182318,30.18803323,0.40191931,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-21,4857.87498700,2716.72855406,7574.60354106,24.02625913,0.49704202,9.42061575,0.34796986,33.44687488,0.44352447,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-24,4992.60287798,2784.05738436,7776.66026234,134.72789098,2.77339148,67.32883030,2.47830539,202.05672128,2.66755508,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-25,5097.81678532,2834.20919136,7932.02597668,105.21390734,2.10739588,50.15180700,1.80139272,155.36571434,1.99784624,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-26,5186.02496677,2875.75797759,8061.78294436,88.20818145,1.73031290,41.54878623,1.46597458,129.75696768,1.63586161,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-27,5229.13808670,2880.79438888,8109.93247558,43.11311993,0.83133267,5.03641129,0.17513335,48.14953122,0.59725661,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-11-28,5289.92449890,2899.34216371,8189.26666261,60.78641220,1.16245567,18.54777483,0.64384237,79.33418703,0.97823487,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-01,5383.92930415,2931.70546376,8315.63476791,94.00480525,1.77705382,32.36330005,1.11622907,126.36810530,1.54309428,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
