block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,vol_ratio,vol5_vs20,turnover,hi20,lo20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,stale,ex_gaps_recent,error
光通信,SZ,002415,海康威视,20260922,33.18,1.84,1.3,-1.4,-4.5,震荡,32.75,33.02,34.03,34.88,-2.5,-4.9,-1.1,-0.669,-0.574,-0.19,,False,48.6,41.9,36.2,28.8,51.0,31.0,1.02,0.9,0.58,36.18,32.1,39.18,32.1,-15.3,15.0,0,False,False,20170516:-34.1%;20160518:-34.7%;20130710:-50.0%,
光通信,SZ,002428,云南锗业,20260922,94.74,1.34,5.0,5.2,0.5,震荡,93.85,91.97,93.14,91.67,1.7,3.3,-1.6,-0.197,-0.369,0.345,金叉(2日前),False,61.5,52.5,66.7,58.4,83.2,61.0,1.28,1.16,10.1,105.55,85.08,122.9,60.8,-22.9,55.0,0,False,False,20130513:-49.4%;20120424:-51.4%;20110527:-24.3%,
光通信,SZ,002429,兆驰股份,20260922,8.25,-0.36,4.7,3.6,3.9,多头,8.18,8.06,8.08,8.44,2.1,-2.3,0.2,-0.039,-0.092,0.106,,False,61.8,52.4,75.8,66.0,95.4,73.0,1.01,1.01,1.11,8.62,7.68,11.7,7.05,-29.5,26.0,0,False,False,20170609:-60.2%;20140611:-33.0%;20130621:-35.0%,
光通信,SZ,002436,兴森科技,20260922,44.23,-0.23,8.2,10.2,32.8,强多头,43.09,41.48,38.48,36.68,14.9,20.6,6.3,2.271,1.603,1.337,,True,75.3,66.5,77.6,80.9,70.8,91.0,1.33,1.05,11.58,48.76,32.31,53.24,26.0,-16.9,67.0,1,False,False,20161028:-66.5%;20150520:-49.9%;20110513:-50.7%,
光通信,SZ,002491,通鼎互联,20260922,24.03,-2.28,8.1,12.0,12.3,多头,24.1,22.74,22.23,20.11,8.1,19.5,4.8,1.05,0.81,0.48,金叉(5日前),True,62.5,60.0,79.1,72.3,92.8,84.0,1.15,1.21,19.02,25.4,19.7,32.59,13.44,-26.3,55.0,2,False,False,20150520:-65.9%;20140527:-24.5%,
光通信,SZ,002522,浙江众成,20260922,5.95,-4.8,2.4,13.3,10.4,多头,6.03,5.68,5.48,5.22,8.6,14.0,4.3,0.22,0.129,0.183,,True,62.3,63.5,79.0,75.1,86.8,84.0,1.77,2.22,9.59,6.35,5.02,7.99,4.19,-25.5,46.0,1,False,False,20150506:-48.1%;20140522:-51.1%;20140120:-14.9%,
光通信,SZ,002643,万润股份,20260922,13.22,-1.71,0.5,3.7,1.5,震荡,13.34,13.16,13.07,14.39,1.2,-8.2,-0.3,-0.135,-0.249,0.228,,False,51.0,47.7,73.7,68.2,84.8,65.0,0.98,1.11,1.64,13.6,12.5,22.22,12.32,-40.5,9.0,0,False,False,20170515:-60.4%;20130426:-51.6%,
光通信,SZ,002725,跃岭股份,20260922,11.23,-0.18,4.1,-1.2,-1.5,震荡,11.13,11.14,11.32,11.25,-0.8,-0.2,-0.1,-0.087,-0.076,-0.022,,False,53.2,48.5,53.9,42.8,76.0,40.0,0.86,0.94,1.24,11.84,10.7,12.94,9.12,-13.2,55.0,0,False,False,20180509:-38.6%;20150508:-38.1%,
光通信,SZ,002792,通宇通讯,20260922,34.97,1.24,18.7,10.5,12.3,强多头,32.55,31.32,30.92,30.67,13.1,14.0,1.1,0.405,-0.088,0.986,金叉(4日前),True,83.3,64.3,70.4,54.0,103.2,121.0,2.28,1.46,19.37,36.16,28.88,40.52,21.44,-13.7,71.0,1,False,False,20240618:-24.0%;20190618:-33.4%;20160607:-34.5%,
光通信,SZ,002829,星网宇达,20260922,20.46,-0.29,6.5,-1.0,5.0,多头,20.22,20.02,20.38,19.95,0.4,2.6,0.8,-0.049,-0.043,-0.011,,False,59.1,52.1,61.9,46.3,93.3,53.0,0.87,0.91,3.44,21.84,19.11,23.23,16.0,-11.9,62.0,0,False,False,20230704:-17.7%;20170413:-50.9%,
