== 板块: AI硬件 (AIYJ.blk) ==
sz300298 三诺生物 收15.63 5日+3.0% 20日-2.6% 评分37
sh688016 心脉医疗 收84.76 5日+1.9% 20日-8.3% 评分31
sh688235 百济神州 收256.00 5日+3.5% 20日-11.5% 评分37
sh601101 昊华能源 收12.92 5日-2.5% 20日+1.6% 评分46
sh600546 山煤国际 收13.39 5日+0.7% 20日+1.4% 评分60
sh601225 陕西煤业 收25.20 5日-3.3% 20日-2.1% 评分48
sh600188 兖矿能源 收19.68 5日-8.0% 20日-8.1% 评分23
sh601088 中国神华 收46.23 5日-2.7% 20日-0.4% 评分44
sh601658 邮储银行 收5.33 5日-2.4% 20日+7.0% 评分59
sh601009 南京银行 收11.80 5日-3.6% 20日+0.2% 评分44
sh601998 中信银行 收8.96 5日+0.5% 20日+6.8% 评分73
sh601328 交通银行 收7.46 5日-0.3% 20日+4.8% 评分75
sh600941 中国移动 收96.63 5日-1.1% 20日+0.4% 评分48
sh600938 中国海油 收32.30 5日-4.8% 20日-4.6% 评分39
sh601857 中国石油 收10.56 5日-6.0% 20日-5.7% 评分25
sh600028 中国石化 收5.16 5日-6.5% 20日+1.2% 评分48
sh600919 江苏银行 收12.17 5日-3.2% 20日+1.9% 评分50
sz002948 青岛银行 收6.05 5日-3.0% 20日+1.7% 评分48
sh600926 杭州银行 收17.14 5日-2.1% 20日+3.1% 评分55
sz000001 平安银行 收11.70 5日-0.3% 20日+2.5% 评分44
sh601577 长沙银行 收9.79 5日-1.4% 20日+2.8% 评分48
sh601169 北京银行 收5.54 5日-0.9% 20日+8.8% 评分57
sh601898 中煤能源 收13.86 5日-5.9% 20日-3.1% 评分25
sh601318 中国平安 收53.37 5日-2.7% 20日+0.0% 评分46
sh601628 中国人寿 收37.80 5日-0.5% 20日+2.1% 评分40
sh601336 新华保险 收58.18 5日-0.2% 20日-1.0% 评分23
sh601699 潞安环能 收15.19 5日-3.4% 20日-9.0% 评分17
sz300633 开立医疗 收19.00 5日-1.4% 20日-8.2% 评分25
